t_s,mem_util_pct,gpu_util_pct,bandwidth_gbps,phase
4.129012708988739,30,26,267.78,util_25
4.150744909973582,30,26,267.78,util_25
4.1716675399802625,30,26,267.78,util_25
4.192540649994044,30,26,267.78,util_25
4.2134629799984396,30,26,267.78,util_25
4.23443934097304,30,26,267.78,util_25
4.255331496999133,30,26,267.78,util_25
4.27657210099278,30,26,267.78,util_25
4.300681889988482,30,25,267.78,util_25
4.322530874982476,30,25,267.78,util_25
4.343484680983238,30,25,267.78,util_25
4.364190282998607,30,25,267.78,util_25
4.385065898997709,30,25,267.78,util_25
4.405829842988169,30,25,267.78,util_25
4.426644510996994,30,25,267.78,util_25
4.4475305269879755,30,25,267.78,util_25
4.468382275983458,30,25,267.78,util_25
4.489258603978669,30,25,267.78,util_25
4.5101196819741745,30,27,267.78,util_25
4.530924480990507,30,27,267.78,util_25
4.5515685669961385,30,27,267.78,util_25
4.572319091996178,30,27,267.78,util_25
4.593070620991057,30,27,267.78,util_25
4.613759548985399,30,27,267.78,util_25
4.634413566993317,30,27,267.78,util_25
4.655154360982124,30,27,267.78,util_25
4.676090880995616,30,27,267.78,util_25
4.697240983980009,30,27,267.78,util_25
4.718423790996894,30,26,267.78,util_25
4.739614422986051,30,26,267.78,util_25
4.760818196984474,30,26,267.78,util_25
4.7822048559901305,30,26,267.78,util_25
4.803853852994507,30,26,267.78,util_25
4.825493219977943,30,26,267.78,util_25
4.846878373995423,30,26,267.78,util_25
4.868440091988305,30,26,267.78,util_25
4.88998054197873,30,26,267.78,util_25
4.910724145971471,30,25,267.78,util_25
4.931906450976385,30,25,267.78,util_25
4.952742349996697,30,25,267.78,util_25
4.973565707972739,30,25,267.78,util_25
4.994411437975941,30,25,267.78,util_25
5.015238106978359,30,25,267.78,util_25
5.036082331993384,30,25,267.78,util_25
5.057700931996806,30,25,267.78,util_25
5.079671456973301,30,25,267.78,util_25
5.102709693979705,30,27,267.78,util_25
5.124395207996713,30,27,267.78,util_25
5.146242338989396,30,27,267.78,util_25
5.1678982579906005,30,27,267.78,util_25
5.1888275549863465,30,27,267.78,util_25
5.209536948997993,30,27,267.78,util_25
